File: _streakfinder.test
Type: cpu
Time: Nov 30, 2022 at 4:22pm (CET)
Duration: 37.98s, Total samples = 37.98s (  100%)
Showing nodes accounting for 33.75s, 88.86% of 37.98s total
Dropped 190 nodes (cum <= 0.19s)
      flat  flat%   sum%        cum   cum%
    10.53s 27.73% 27.73%     12.66s 33.33%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:123
     7.70s 20.27% 48.00%      9.39s 24.72%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:121
     4.15s 10.93% 58.93%      4.15s 10.93%  sort.IntSlice.Less /usr/lib/go-1.13/src/sort/sort.go:272
     1.78s  4.69% 63.61%      2.93s  7.71%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:129
     1.40s  3.69% 67.30%      1.40s  3.69%  sort.IntSlice.Swap /usr/lib/go-1.13/src/sort/sort.go:273
     1.34s  3.53% 70.83%      1.53s  4.03%  sort.insertionSort /usr/lib/go-1.13/src/sort/sort.go:27
     1.07s  2.82% 73.64%      1.07s  2.82%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:130
     0.85s  2.24% 75.88%      0.85s  2.24%  sync.(*Mutex).Lock /usr/lib/go-1.13/src/sync/mutex.go:74
     0.68s  1.79% 77.67%      0.68s  1.79%  sync.(*Mutex).Unlock /usr/lib/go-1.13/src/sync/mutex.go:186
     0.57s  1.50% 79.17%      0.81s  2.13%  math/rand.(*lockedSource).Int63 /usr/lib/go-1.13/src/math/rand/rand.go:381
     0.44s  1.16% 80.33%      0.44s  1.16%  sort.insertionSort /usr/lib/go-1.13/src/sort/sort.go:26
     0.43s  1.13% 81.46%      0.43s  1.13%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:165
     0.35s  0.92% 82.39%      0.50s  1.32%  sort.insertionSort /usr/lib/go-1.13/src/sort/sort.go:28
     0.34s   0.9% 83.28%      1.88s  4.95%  _streakfinder.findLargestStreak /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:78
     0.32s  0.84% 84.12%      0.33s  0.87%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:117
     0.32s  0.84% 84.97%      0.32s  0.84%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:139
     0.29s  0.76% 85.73%      0.29s  0.76%  _streakfinder.findLargestStreak /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:80
     0.23s  0.61% 86.33%      0.27s  0.71%  sort.medianOfThree /usr/lib/go-1.13/src/sort/sort.go:80
     0.19s   0.5% 86.84%      0.19s   0.5%  math/rand.(*Rand).Int31n /usr/lib/go-1.13/src/math/rand/rand.go:133
     0.16s  0.42% 87.26%      0.20s  0.53%  sort.quickSort /usr/lib/go-1.13/src/sort/sort.go:205
     0.11s  0.29% 87.55%      3.14s  8.27%  math/rand.(*Rand).Intn /usr/lib/go-1.13/src/math/rand/rand.go:172
     0.09s  0.24% 87.78%      2.56s  6.74%  math/rand.(*Rand).Int63 /usr/lib/go-1.13/src/math/rand/rand.go:85
     0.07s  0.18% 87.97%      2.55s  6.71%  sort.quickSort /usr/lib/go-1.13/src/sort/sort.go:209
     0.06s  0.16% 88.13%     28.46s 74.93%  sort.quickSort /usr/lib/go-1.13/src/sort/sort.go:190
     0.05s  0.13% 88.26%      0.40s  1.05%  _streakfinder.findLargestStreak /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:83
     0.05s  0.13% 88.39%      0.20s  0.53%  math/rand.(*rngSource).Int63 /usr/lib/go-1.13/src/math/rand/rng.go:234
     0.04s  0.11% 88.49%      3.22s  8.48%  math/rand.Intn /usr/lib/go-1.13/src/math/rand/rand.go:329
     0.03s 0.079% 88.57%      0.31s  0.82%  runtime.makeslice /usr/lib/go-1.13/src/runtime/slice.go:49
     0.03s 0.079% 88.65%     24.95s 65.69%  sort.quickSort /usr/lib/go-1.13/src/sort/sort.go:194
     0.02s 0.053% 88.70%      0.70s  1.84%  math/rand.(*lockedSource).Int63 /usr/lib/go-1.13/src/math/rand/rand.go:382
     0.02s 0.053% 88.76%         1s  2.63%  runtime.growslice /usr/lib/go-1.13/src/runtime/slice.go:175
     0.02s 0.053% 88.81%      0.35s  0.92%  sort.doPivot /usr/lib/go-1.13/src/sort/sort.go:105
     0.02s 0.053% 88.86%     23.68s 62.35%  sort.quickSort /usr/lib/go-1.13/src/sort/sort.go:197
         0     0% 88.86%     37.83s 99.61%  _streakfinder.BenchmarkRunProgram /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main_test.go:12
         0     0% 88.86%      3.22s  8.48%  _streakfinder.generateArray /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:63
         0     0% 88.86%      3.45s  9.08%  _streakfinder.runProgram /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:52
         0     0% 88.86%     31.57s 83.12%  _streakfinder.runProgram /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:53
         0     0% 88.86%      2.81s  7.40%  _streakfinder.runProgram /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:54
         0     0% 88.86%     31.57s 83.12%  _streakfinder.sortArray /mnt/c/Users/Audun/GolandProjects/perfactor/_streakfinder/main.go:69
         0     0% 88.86%      2.56s  6.74%  math/rand.(*Rand).Int31 /usr/lib/go-1.13/src/math/rand/rand.go:99
         0     0% 88.86%      2.55s  6.71%  math/rand.(*Rand).Int31n /usr/lib/go-1.13/src/math/rand/rand.go:134
         0     0% 88.86%      0.85s  2.24%  math/rand.(*lockedSource).Int63 /usr/lib/go-1.13/src/math/rand/rand.go:380
         0     0% 88.86%      0.19s   0.5%  runtime.systemstack /usr/lib/go-1.13/src/runtime/asm_amd64.s:370
         0     0% 88.86%     31.57s 83.12%  sort.Ints /usr/lib/go-1.13/src/sort/sort.go:307
         0     0% 88.86%     31.57s 83.12%  sort.Sort /usr/lib/go-1.13/src/sort/sort.go:218
         0     0% 88.86%     37.83s 99.61%  testing.(*B).run1.func1 /usr/lib/go-1.13/src/testing/benchmark.go:230
         0     0% 88.86%     37.83s 99.61%  testing.(*B).runN /usr/lib/go-1.13/src/testing/benchmark.go:190
